SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10.0,1.0,INE246F01010,10.0,INE246F01010,BOTH,532702.0,GSPL,GUJARAT STATE PETRONET LTD.,Active,A ,10.0,INE246F01010,Utilities:Non-Elec.,Equity
GSS,GSS Infotech Limited,EQ,07-MAR-2008,10.0,1.0,INE871H01011,10.0,INE871H01011,BOTH,532951.0,GSS,GSS INFOTECH LTD.,Active,B ,10.0,INE871H01011,IT Consulting &amp; Software,Equity
GTL,GTL Limited,EQ,29-MAR-1995,10.0,1.0,INE043A01012,10.0,INE043A01012,BOTH,500160.0,GTL,GTL LTD.,Active,B ,10.0,INE043A01012,Other Telecom Services,Equity
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,10.0,1.0,INE221H01019,10.0,INE221H01019,BOTH,532775.0,GTLINFRA,GTL INFRASTRUCTURE LTD.,Active,B ,10.0,INE221H01019,Telecom Equipment,Equity
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10.0,1.0,INE869I01013,10.0,INE869I01013,BOTH,540602.0,GTPL,GTPL Hathway Ltd,Active,B ,10.0,INE869I01013,Other Telecom Services,Equity
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1.0,1.0,INE742B01025,1.0,INE742B01025,BOTH,509079.0,GUFICBIO,GUFIC BIOSCIENCES LTD.,Active,B ,1.0,INE742B01025,Pharmaceuticals,Equity
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,10.0,1.0,INE186A01019,10.0,INE186A01019,BOTH,530001.0,GUJALKALI,GUJARAT ALKALIES &amp; CHEMICALS LTD.,Active,B ,10.0,INE186A01019,Commodity Chemicals,Equity
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,10.0,1.0,INE826C01016,10.0,INE826C01016,BOTH,522217.0,GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,Active,B ,10.0,INE826C01016,Commercial Vehicles,Equity
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,10.0,1.0,INE610B01024,10.0,INE610B01024,BOTH,523836.0,GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,Active,T ,10.0,INE610B01024,Containers &amp; Packaging,Equity
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,2.0,1.0,INE635Q01029,2.0,INE635Q01029,BOTH,538567.0,GULFOILLUB,Gulf Oil Lubricants India Ltd,Active,B ,2.0,INE635Q01029,Oil Marketing &amp; Distribution,Equity
GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,5.0,1.0,INE586G01017,5.0,INE586G01017,BOTH,532543.0,GULFPETRO,GP Petroleums Limited,Active,B ,5.0,INE586G01017,Oil Marketing &amp; Distribution,Equity
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,1.0,1.0,INE255D01024,1.0,INE255D01024,BOTH,532457.0,GULPOLY,GULSHAN POLYOLS LTD.,Active,B ,1.0,INE255D01024,Commodity Chemicals,Equity
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1.0,1.0,INE251H01024,1.0,INE251H01024,BOTH,532708.0,GVKPIL,GVK POWER &amp; INFRASTRUCTURE LTD.,Active,T ,1.0,INE251H01024,Electric Utilities,Equity
GVPIL,GE Power India Limited,EQ,19-APR-2000,10.0,1.0,INE878A01011,10.0,INE878A01011,BOTH,532309.0,GEPIL,GE Power India Ltd,Active,B ,10.0,INE878A01011,Heavy Electrical Equipment,Equity
GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008,2.0,1.0,INE200A01026,2.0,INE200A01026,BOTH,522275.0,GET&amp;D,GE T&amp;D India Ltd,Active,A ,2.0,INE200A01026,Electric Utilities,Equity
HALEOSLABS,HALEOS LABS LIMITED,BE,17-AUG-2017,10.0,1.0,INE320X01016,10.0,INE320X01016,BOTH,540679.0,SMSLIFE,SMS Lifesciences India Ltd,Active,B ,10.0,INE320X01016,,Equity
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,10.0,1.0,INE544A01019,10.0,INE544A01019,BOTH,500467.0,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,T ,10.0,INE544A01019,Auto Tyres &amp; Rubber Products,Equity
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2.0,1.0,INE982F01036,2.0,INE982F01036,BOTH,533162.0,HATHWAY,Hathway Cable &amp; Datacom Ltd,Active,A ,2.0,INE982F01036,Broadcasting &amp; Cable TV,Equity
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,1.0,1.0,INE473B01035,1.0,INE473B01035,BOTH,531531.0,HATSUN,HATSUN AGRO PRODUCT LTD.,Active,B ,1.0,INE473B01035,Packaged Foods,Equity
HAVELLS,Havells India Limited,EQ,21-MAR-2001,1.0,1.0,INE176B01034,1.0,INE176B01034,BOTH,517354.0,HAVELLS,HAVELLS INDIA LTD.,Active,A ,1.0,INE176B01034,Other Elect.Equip./ Prod.,Equity
HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007,1.0,1.0,INE292B01021,1.0,INE292B01021,BOTH,517271.0,HBLPOWER,HBL POWER SYSTEMS LTD.-$,Active,B ,1.0,INE292B01021,Other Elect.Equip./ Prod.,Equity
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,1.0,1.0,INE549A01026,1.0,INE549A01026,BOTH,500185.0,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.0,INE549A01026,Construction &amp; Engineering,Equity
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10.0,1.0,INE075I01017,10.0,INE075I01017,BOTH,539787.0,HCG,HealthCare Global Enterprises Ltd,Active,B ,10.0,INE075I01017,Healthcare Facilities,Equity
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,2.0,1.0,INE236A01020,2.0,INE236A01020,BOTH,500179.0,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,A ,2.0,INE236A01020,Computer Hardware,Equity
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,2.0,1.0,INE860A01027,2.0,INE860A01027,BOTH,532281.0,HCLTECH,HCL TECHNOLOGIES LTD.,Active,A ,2.0,INE860A01027,IT Consulting &amp; Software,Equity
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,10.0,1.0,INE795G01014,10.0,INE795G01014,BOTH,540777.0,HDFCLIFE,HDFC Standard Life Insurance Company Ltd,Active,B ,10.0,INE795G01014,Life Insurance,Equity
HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10.0,1.0,INE191I01012,10.0,INE191I01012,BOTH,532873.0,HDIL,HOUSING DEVELOPMENT &amp; INFRASTRUCTURE LTD.,Active,A ,10.0,INE191I01012,Realty,Equity
HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,10.0,1.0,INE759V01019,10.0,INE759V01019,BOTH,540210.0,TMRVL,The Mandhana Retail Ventures Ltd,Active,B ,10.0,INE759V01019,Specialty Retail,Equity
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,10.0,1.0,INE578A01017,10.0,INE578A01017,BOTH,500292.0,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,B ,10.0,INE578A01017,Cement &amp; Cement Products,Equity
HERCULES,HERCULES INVESTMENTS LIMITED,EQ,19-FEB-2008,1.0,1.0,INE688E01024,1.0,INE688E01024,BOTH,505720.0,HERCULES,HERCULES HOISTS LTD.,Active,B ,1.0,INE688E01024,Industrial Machinery,Equity
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,5.0,1.0,INE978A01027,5.0,INE978A01027,BOTH,519552.0,HERITGFOOD,Heritage Foods Limited,Active,B ,5.0,INE978A01027,Packaged Foods,Equity
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,2.0,1.0,INE158A01026,2.0,INE158A01026,BOTH,500182.0,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.0,INE158A01026,2/3 Wheelers,Equity
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10.0,1.0,INE782E01017,10.0,INE782E01017,BOTH,524669.0,HESTERBIO,HESTER BIOSCIENCES LTD.,Active,B ,10.0,INE782E01017,Pharmaceuticals,Equity
HEUBACHIND,Heubach Colorants India Limited,EQ,14-JUN-1995,10.0,1.0,INE492A01029,10.0,INE492A01029,BOTH,506390.0,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,Active,B ,10.0,INE492A01029,Specialty Chemicals,Equity
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,2.0,1.0,INE750M01017,2.0,INE750M01017,BOTH,534328.0,HEXATRADEX,HEXA TRADEX LTD.,Active,T ,2.0,INE750M01017,Comm.Trading  &amp; Distribution,Equity
HFCL,HFCL Limited,EQ,09-MAR-2011,1.0,1.0,INE548A01028,1.0,INE548A01028,BOTH,500183.0,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LTD.,Active,B ,1.0,INE548A01028,Telecom Cables,Equity
HGM,HandsOn Global Management (HGM) Limited,EQ,27-SEP-2006,10.0,1.0,INE596H01014,10.0,INE596H01014,BOTH,532761.0,HOVS,HOV SERVICES LTD.,Active,B ,10.0,INE596H01014,BPO/KPO,Equity
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,10.0,1.0,INE170I01016,10.0,INE170I01016,BOTH,532859.0,HGS,HINDUJA GLOBAL SOLUTIONS LTD.,Active,B ,10.0,INE170I01016,BPO/KPO,Equity
HIKAL,Hikal Limited,EQ,14-FEB-2001,2.0,1.0,INE475B01022,2.0,INE475B01022,BOTH,524735.0,HIKAL,HIKAL LTD.,Active,B ,2.0,INE475B01022,Pharmaceuticals,Equity
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,10.0,1.0,INE788H01017,10.0,INE788H01017,BOTH,532847.0,HILTON,HILTON METAL FORGING LTD.,Active,B ,10.0,INE788H01017,Other Industrial Products,Equity
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,5.0,1.0,INE049A01027,5.0,INE049A01027,BOTH,514043.0,HIMATSEIDE,HIMATSINGKA SEIDE LTD.,Active,B ,5.0,INE049A01027,Textiles,Equity
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,1.0,1.0,INE038A01020,1.0,INE038A01020,BOTH,500440.0,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.0,INE038A01020,Aluminium,Equity
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,5.0,1.0,INE310C01029,5.0,INE310C01029,BOTH,509635.0,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,Active,B ,5.0,INE310C01029,Auto Parts &amp; Equipment,Equity
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,5.0,1.0,INE531E01026,5.0,INE531E01026,BOTH,513599.0,HINDCOPPER,HINDUSTAN COPPER LTD.,Active,A ,5.0,INE531E01026,Copper,Equity
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,10.0,1.0,INE345A01011,10.0,INE345A01011,BOTH,500186.0,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,B ,10.0,INE345A01011,Exploration &amp; Production,Equity
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10.0,1.0,INE094A01015,10.0,INE094A01015,BOTH,500104.0,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE094A01015,Refineries/ Petro-Products,Equity
