Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,ISIN_CLEAN,LISTING_SOURCE
533090,EXCEL,Excel Realty N Infra Ltd,Active,T ,10.0,INE688J01015,BPO/KPO,Equity,INE688J01015,BSE_ONLY
533093,RAJOIL,RAJ OIL MILLS LTD.,Active,T ,10.0,INE294G01018,Edible Oils,Equity,INE294G01018,BSE_ONLY
533095,BENGALASM,BENGAL &amp; ASSAM COMPANY LTD.,Active,B ,10.0,INE083K01017,Finance (including NBFCs),Equity,INE083K01017,BSE_ONLY
533096,ADANIPOWER,ADANI POWER LTD.,Active,A ,10.0,INE814H01011,Electric Utilities,Equity,INE814H01011,BSE_ONLY
533100,PEIL,PREMIER ENERGY AND INFRASTRUCTURE LTD.,Suspended,Z ,10.0,INE429K01012,Realty,Equity,INE429K01012,BSE_ONLY
533103,JINDCOT,JINDAL COTEX LTD.,Active,T ,10.0,INE904J01016,Textiles,Equity,INE904J01016,BSE_ONLY
533107,RNAVAL,Reliance Naval and Engineering Ltd,Active,A ,10.0,INE542F01012,Defence,Equity,INE542F01012,BSE_ONLY
533109,EUROMULTI,EURO MULTIVISION LTD.,Active,B ,10.0,INE063J01011,Storage Media &amp; Peripherals,Equity,INE063J01011,BSE_ONLY
533110,SPSL,SHREE PRECOATED STEELS LTD.,Active,XT,10.0,INE318K01017,Iron &amp; Steel Products,Equity,INE318K01017,BSE_ONLY
533143,RBN,Reliance Broadcast Network Limited,Delisted,B ,5.0,INE445K01018,Broadcasting &amp; Cable TV,Equity,INE445K01018,BSE_ONLY
533144,COX&amp;KINGS,Cox &amp; Kings Limited,Active,A ,5.0,INE008I01026,Travel Support Services,Equity,INE008I01026,BSE_ONLY
533154,INFINITE,Infinite Computer Solutions (India) Ltd,Active,B ,10.0,INE486J01014,IT Consulting &amp; Software,Equity,INE486J01014,BSE_ONLY
533155,JUBLFOOD,Jubilant FoodWorks Ltd,Active,A ,10.0,INE797F01012,Restaurants,Equity,INE797F01012,BSE_ONLY
533157,SYNCOM,Syncom Healthcare Ltd,Active,B ,10.0,INE602K01014,Pharmaceuticals,Equity,INE602K01014,BSE_ONLY
533159,AQUA,Aqua Logistics Ltd,Suspended,B ,1.0,INE544K01026,Transportation - Logistics,Equity,INE544K01026,BSE_ONLY
