SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE
CEIGALL,Ceigall India Limited,EQ,08-AUG-2024,5,1,INE0AG901020,5,INE0AG901020,NSE_ONLY
CELLO,Cello World Limited,EQ,06-NOV-2023,5,1,INE0LMW01024,5,INE0LMW01024,NSE_ONLY
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1,INE486A01021,NSE_ONLY
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024,5,1,INE037Z01029,5,INE037Z01029,NSE_ONLY
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1,1,INE180C01042,1,INE180C01042,NSE_ONLY
CHALET,Chalet Hotels Limited,EQ,07-FEB-2019,10,1,INE427F01016,10,INE427F01016,NSE_ONLY
CHEMBOND,Chembond Material Technologies Limited,EQ,20-NOV-2019,5,1,INE995D01025,5,INE995D01025,NSE_ONLY
CHEMBONDCH,Chembond Chemicals Limited,EQ,23-JUL-2025,5,1,INE0TGX01019,5,INE0TGX01019,NSE_ONLY
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-OCT-2020,10,1,INE03YM01018,10,INE03YM01018,NSE_ONLY
CHEMFAB,Chemfab Alkalis Limited,EQ,25-APR-2018,10,1,INE783X01023,10,INE783X01023,NSE_ONLY
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-AUG-2021,5,1,INE488A01050,5,INE488A01050,NSE_ONLY
CHEVIOT,Cheviot Company Limited,EQ,20-JUN-2022,10,1,INE974B01016,10,INE974B01016,NSE_ONLY
CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10,INE102B01014,NSE_ONLY
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2,INE121A01024,NSE_ONLY
CIFL,Capital India Finance Limited,EQ,17-APR-2025,2,1,INE345H01024,2,INE345H01024,NSE_ONLY
CLEAN,Clean Science and Technology Limited,EQ,19-JUL-2021,1,1,INE227W01023,1,INE227W01023,NSE_ONLY
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5,INE201M01029,NSE_ONLY
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2,INE419D01026,NSE_ONLY
CMSINFO,CMS Info Systems Limited,EQ,31-DEC-2021,10,1,INE925R01014,10,INE925R01014,NSE_ONLY
COASTCORP,Coastal Corporation Limited,BE,08-OCT-2021,2,1,INE377E01024,2,INE377E01024,NSE_ONLY
COCHINSHIP,Cochin Shipyard Limited,EQ,11-AUG-2017,5,1,INE704P01025,5,INE704P01025,NSE_ONLY
COFORGE,Coforge Limited,EQ,30-AUG-2004,2,1,INE591G01025,2,INE591G01025,NSE_ONLY
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020,1,1,INE03QK01018,1,INE03QK01018,NSE_ONLY
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5,INE111A01025,NSE_ONLY
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1,1,INE338H01029,1,INE338H01029,NSE_ONLY
CONFIPET,Confidence Petroleum India Limited,EQ,13-JUN-2019,1,1,INE552D01024,1,INE552D01024,NSE_ONLY
CPEDU,Career Point Edutech Limited,EQ,05-SEP-2025,10,1,INE0P6P01016,10,INE0P6P01016,NSE_ONLY
CPPLUS,Aditya Infotech Limited,EQ,05-AUG-2025,1,1,INE819V01029,1,INE819V01029,NSE_ONLY
CRAFTSMAN,Craftsman Automation Limited,EQ,25-MAR-2021,5,1,INE00LO01017,5,INE00LO01017,NSE_ONLY
CRAMC,Canara Robeco Asset Management Company Limited,EQ,16-OCT-2025,10,1,INE218I01013,10,INE218I01013,NSE_ONLY
CREATIVE,Creative Newtech Limited,EQ,05-AUG-2019,10,1,INE985W01018,10,INE985W01018,NSE_ONLY
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10,INE741K01010,NSE_ONLY
CRIZAC,Crizac Limited,EQ,09-JUL-2025,2,1,INE0S4R01014,2,INE0S4R01014,NSE_ONLY
CROWN,Crown Lifters Limited,EQ,08-FEB-2022,10,1,INE491V01019,10,INE491V01019,NSE_ONLY
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10,INE679A01013,NSE_ONLY
CUPID,Cupid Limited,EQ,16-SEP-2016,1,1,INE509F01029,1,INE509F01029,NSE_ONLY
CURAA,Cura Technologies Limited,BE,21-MAR-2025,10,1,INE117B01020,10,INE117B01020,NSE_ONLY
CYIENTDLM,Cyient DLM Limited,EQ,10-JUL-2023,10,1,INE055S01018,10,INE055S01018,NSE_ONLY
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2,INE00R701025,NSE_ONLY
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-DEC-2024,2,1,INE284H01025,2,INE284H01025,NSE_ONLY
DAMODARIND,Damodar Industries Limited,EQ,04-JUL-2016,5,1,INE497D01022,5,INE497D01022,NSE_ONLY
DANGEE,Dangee Dums Limited,EQ,13-NOV-2020,1,1,INE688Y01022,1,INE688Y01022,NSE_ONLY
DATAPATTNS,Data Patterns (India) Limited,EQ,24-DEC-2021,2,1,INE0IX101010,2,INE0IX101010,NSE_ONLY
DAVANGERE,Davangere Sugar Company Limited,EQ,25-JAN-2024,1,1,INE179G01029,1,INE179G01029,NSE_ONLY
DBEIL,Deepak Builders & Engineers India Limited,EQ,28-OCT-2024,10,1,INE0OPA01019,10,INE0OPA01019,NSE_ONLY
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10,INE0I3401014,NSE_ONLY
DCI,Dc Infotech And Communication Limited,EQ,19-OCT-2022,10,1,INE0A1101019,10,INE0A1101019,NSE_ONLY
DCMNVL,DCM Nouvelle Limited,EQ,16-JUL-2019,10,1,INE08KP01019,10,INE08KP01019,NSE_ONLY
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2,INE843D01027,NSE_ONLY
DCXINDIA,DCX Systems Limited,EQ,11-NOV-2022,2,1,INE0KL801015,2,INE0KL801015,NSE_ONLY
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,15-JAN-2025,1,1,INE0HR601026,1,INE0HR601026,NSE_ONLY
DEEDEV,DEE Development Engineers Limited,EQ,26-JUN-2024,10,1,INE841L01016,10,INE841L01016,NSE_ONLY
DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,5,1,INE0FHS01024,5,INE0FHS01024,NSE_ONLY
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1,INE148O01028,NSE_ONLY
DENTA,Denta Water and Infra Solutions Limited,EQ,29-JAN-2025,10,1,INE0R4L01018,10,INE0R4L01018,NSE_ONLY
DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,2,1,INE060X01034,2,INE060X01034,NSE_ONLY
