SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE
GLOBALE,Globale Tessile Limited,EQ,27-AUG-2024,10,1,INE0URU01010,10,INE0URU01010,NSE_ONLY
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-OCT-2020,2,1,INE581X01021,2,INE581X01021,NSE_ONLY
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-JUL-2025,10,1,INE0V3U01015,10,INE0V3U01015,NSE_ONLY
GLOSTERLTD,Gloster Limited,EQ,26-APR-2024,10,1,INE350Z01018,10,INE350Z01018,NSE_ONLY
GLOTTIS,Glottis Limited,EQ,07-OCT-2025,2,1,INE0TQE01026,2,INE0TQE01026,NSE_ONLY
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,INE541A01023,2,INE541A01023,NSE_ONLY
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,5,1,INE0CU601026,5,INE0CU601026,NSE_ONLY
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,10,1,INE0BJS01011,10,INE0BJS01011,NSE_ONLY
GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024,10,1,INE497S01012,10,INE497S01012,NSE_ONLY
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,10,1,INE03JT01014,10,INE03JT01014,NSE_ONLY
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,1,1,INE314T01033,1,INE314T01033,NSE_ONLY
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,2,1,INE025B01025,2,INE025B01025,NSE_ONLY
GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024,1,1,INE0L9R01028,1,INE0L9R01028,NSE_ONLY
GOYALALUM,Goyal Aluminiums Limited,EQ,04-NOV-2022,1,1,INE705X01026,1,INE705X01026,NSE_ONLY
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,1,1,INE177H01039,1,INE177H01039,NSE_ONLY
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,10,1,INE486R01017,10,INE486R01017,NSE_ONLY
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,1,1,INE544R01021,1,INE544R01021,NSE_ONLY
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,1,1,INE08ZM01014,1,INE08ZM01014,NSE_ONLY
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,5,1,INE201P01022,5,INE201P01022,NSE_ONLY
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,2,1,INE192H01020,2,INE192H01020,NSE_ONLY
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,10,1,INE646C01018,10,INE646C01018,NSE_ONLY
GROWW,Billionbrains Garage Ventures Limited,EQ,12-NOV-2025,2,1,INE0HOQ01053,2,INE0HOQ01053,NSE_ONLY
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,10,1,INE382Z01011,10,INE382Z01011,NSE_ONLY
GSLSU,Global Surfaces Limited,BE,23-MAR-2023,10,1,INE0JSX01015,10,INE0JSX01015,NSE_ONLY
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-NOV-2020,10,1,INE586X01012,10,INE586X01012,NSE_ONLY
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2,INE844O01030,NSE_ONLY
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025,1,1,INE942C01045,1,INE942C01045,NSE_ONLY
GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022,2,1,INE382T01030,2,INE382T01030,NSE_ONLY
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,5,1,INE066F01020,5,INE066F01020,NSE_ONLY
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,2,1,INE419U01012,2,INE419U01012,NSE_ONLY
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,2,1,INE330T01021,2,INE330T01021,NSE_ONLY
HARDWYN,Hardwyn India Limited,EQ,12-APR-2022,1,1,INE626Z01029,1,INE626Z01029,NSE_ONLY
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,10,1,INE00EV01017,10,INE00EV01017,NSE_ONLY
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,10,1,INE0JUS01029,10,INE0JUS01029,NSE_ONLY
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000,2,1,INE293B01029,2,INE293B01029,NSE_ONLY
HBSL,HB Stockholdings Limited,BE,23-JUL-2018,10,1,INE550B01022,10,INE550B01022,NSE_ONLY
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025,10,1,INE756I01012,10,INE756I01012,NSE_ONLY
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,5,1,INE127D01025,5,INE127D01025,NSE_ONLY
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,1,1,INE040A01034,1,INE040A01034,NSE_ONLY
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,10,1,INE558R01013,10,INE558R01013,NSE_ONLY
HEG,HEG Limited,EQ,10-MAY-1995,2,1,INE545A01024,2,INE545A01024,NSE_ONLY
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10,1,INE0AJG01018,10,INE0AJG01018,NSE_ONLY
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,10,1,INE694N01015,10,INE694N01015,NSE_ONLY
HEXT,Hexaware Technologies Limited,EQ,19-FEB-2025,1,1,INE093A01041,1,INE093A01041,NSE_ONLY
HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,10,1,INE926X01010,10,INE926X01010,NSE_ONLY
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025,5,1,INE00RL01028,5,INE00RL01028,NSE_ONLY
HINDCON,Hindcon Chemicals Limited,EQ,05-JUL-2021,2,1,INE642Y01029,2,INE642Y01029,NSE_ONLY
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,2,1,INE05AN01011,2,INE05AN01011,NSE_ONLY
HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,1,1,INE106T01025,1,INE106T01025,NSE_ONLY
HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023,2,1,INE461D01028,2,INE461D01028,NSE_ONLY
HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023,1,1,INE0ECP01024,1,INE0ECP01024,NSE_ONLY
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,2,1,INE254N01026,2,INE254N01026,NSE_ONLY
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,2,1,INE481N01025,2,INE481N01025,NSE_ONLY
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10,1,INE0J5401028,10,INE0J5401028,NSE_ONLY
HPAL,HP Adhesives Limited,EQ,27-DEC-2021,2,1,INE0GSL01024,2,INE0GSL01024,NSE_ONLY
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,10,1,INE05X901010,10,INE05X901010,NSE_ONLY
HYBRIDFIN,Hybrid Financial Services Limited,BE,05-DEC-2022,5,1,INE965B01022,5,INE965B01022,NSE_ONLY
HYUNDAI,Hyundai Motor India Limited,EQ,22-OCT-2024,10,1,INE0V6F01027,10,INE0V6F01027,NSE_ONLY
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,10,1,INE520Y01019,10,INE520Y01019,NSE_ONLY
IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,10,1,INE349Y01013,10,INE349Y01013,NSE_ONLY
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,1,1,INE022Q01020,1,INE022Q01020,NSE_ONLY
IGCL,Indogulf Cropsciences Limited,EQ,03-JUL-2025,10,1,INE05J901018,10,INE05J901018,NSE_ONLY
IGIL,International Gemmological Institute (India) Limited,EQ,20-DEC-2024,2,1,INE0Q9301021,2,INE0Q9301021,NSE_ONLY
IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019,2,1,INE489L01022,2,INE489L01022,NSE_ONLY
IKIO,IKIO Technologies Limited,EQ,16-JUN-2023,10,1,INE0LOJ01019,10,INE0LOJ01019,NSE_ONLY
IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024,1,1,INE115Q01022,1,INE115Q01022,NSE_ONLY
INDGN,Indegene Limited,EQ,13-MAY-2024,2,1,INE065X01017,2,INE065X01017,NSE_ONLY
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,5,1,INE560A01023,5,INE560A01023,NSE_ONLY
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10,INE933S01016,NSE_ONLY
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,5,1,INE922K01024,5,INE922K01024,NSE_ONLY
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,10,1,INE09VQ01012,10,INE09VQ01012,NSE_ONLY
INDIQUBE,Indiqube Spaces Limited,EQ,30-JUL-2025,1,1,INE06ST01018,1,INE06ST01018,NSE_ONLY
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,5,1,INE092B01025,5,INE092B01025,NSE_ONLY
INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,5,1,INE760F01028,5,INE760F01028,NSE_ONLY
INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,1,1,INE803D01021,1,INE803D01021,NSE_ONLY
INDOFARM,Indo Farm Equipment Limited,EQ,07-JAN-2025,10,1,INE622H01018,10,INE622H01018,NSE_ONLY
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018,10,1,INE896L01010,10,INE896L01010,NSE_ONLY
INDOTHAI,Indo Thai Securities Limited,BE,02-NOV-2011,1,1,INE337M01021,1,INE337M01021,NSE_ONLY
INDOUS,Indo Us Biotech Limited,EQ,27-SEP-2024,10,1,INE250Z01010,10,INE250Z01010,NSE_ONLY
INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019,10,1,INE344S01016,10,INE344S01016,NSE_ONLY
INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023,10,1,INE0DUT01020,10,INE0DUT01020,NSE_ONLY
INNOVANA,Innovana Thinklabs Limited,EQ,17-DEC-2024,10,1,INE403Y01018,10,INE403Y01018,NSE_ONLY
INOXGREEN,Inox Green Energy Services Limited,EQ,23-NOV-2022,10,1,INE510W01014,10,INE510W01014,NSE_ONLY
INOXINDIA,INOX India Limited,EQ,21-DEC-2023,2,1,INE616N01034,2,INE616N01034,NSE_ONLY
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024,10,1,INE00M901018,10,INE00M901018,NSE_ONLY
INTLCONV,International Conveyors Limited,EQ,16-SEP-2021,1,1,INE575C01027,1,INE575C01027,NSE_ONLY
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011,1,1,INE878H01024,1,INE878H01024,NSE_ONLY
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,2,1,INE485C01029,2,INE485C01029,NSE_ONLY
IONEXCHANG,ION Exchange (India) Limited,EQ,22-FEB-2022,1,1,INE570A01022,1,INE570A01022,NSE_ONLY
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1,1,INE571A01038,1,INE571A01038,NSE_ONLY
IPL,India Pesticides Limited,EQ,05-JUL-2021,1,1,INE0D6701023,1,INE0D6701023,NSE_ONLY
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,1,1,INE821I01022,1,INE821I01022,NSE_ONLY
IRCON,Ircon International Limited,EQ,28-SEP-2018,2,1,INE962Y01021,2,INE962Y01021,NSE_ONLY
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,2,1,INE335Y01020,2,INE335Y01020,NSE_ONLY
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023,10,1,INE202E01016,10,INE202E01016,NSE_ONLY
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,INE053F01010,10,INE053F01010,NSE_ONLY
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021,2,1,INE01GN01025,2,INE01GN01025,NSE_ONLY
IRMENERGY,IRM Energy Limited,EQ,26-OCT-2023,10,1,INE07U701015,10,INE07U701015,NSE_ONLY
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,1,1,INE858B01029,1,INE858B01029,NSE_ONLY
ISHANCH,Ishan Dyes and Chemicals Limited,EQ,24-MAR-2025,10,1,INE561M01018,10,INE561M01018,NSE_ONLY
ITCHOTELS,ITC Hotels Limited,EQ,29-JAN-2025,1,1,INE379A01028,1,INE379A01028,NSE_ONLY
IVALUE,Ivalue Infosolutions Limited,EQ,25-SEP-2025,2,1,INE056801025,2,INE056801025,NSE_ONLY
IXIGO,Le Travenues Technology Limited,EQ,18-JUN-2024,1,1,INE0HV901016,1,INE0HV901016,NSE_ONLY
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,2,1,INE048B01035,2,INE048B01035,NSE_ONLY
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-DEC-2003,2,1,INE091G01026,2,INE091G01026,NSE_ONLY
JAINREC,Jain Resource Recycling Limited,EQ,01-OCT-2025,2,1,INE0YD401026,2,INE0YD401026,NSE_ONLY
JAIPURKURT,Nandani Creation Limited,EQ,02-SEP-2021,10,1,INE696V01013,10,INE696V01013,NSE_ONLY
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025,10,1,INE00YJ01010,10,INE00YJ01010,NSE_ONLY
JASH,Jash Engineering Limited,EQ,30-OCT-2019,2,1,INE039O01029,2,INE039O01029,NSE_ONLY
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,2,1,INE571B01036,2,INE571B01036,NSE_ONLY
JAYKAY,Jaykay Enterprises Limited,EQ,03-DEC-2025,1,1,INE903A01025,1,INE903A01025,NSE_ONLY
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1,1,INE572A01036,1,INE572A01036,NSE_ONLY
JBMA,JBM Auto Limited,EQ,17-DEC-2004,1,1,INE927D01051,1,INE927D01051,NSE_ONLY
JETFREIGHT,Jet Freight Logistics Limited,BE,21-DEC-2021,5,1,INE982V01025,5,INE982V01025,NSE_ONLY
JGCHEM,J.G.Chemicals Limited,EQ,13-MAR-2024,10,1,INE0MB501011,10,INE0MB501011,NSE_ONLY
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,1,1,INE324A01032,1,INE324A01032,NSE_ONLY
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,1,1,INE247D01039,1,INE247D01039,NSE_ONLY
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10,INE758E01017,NSE_ONLY
JKIPL,Jinkushal Industries Limited,EQ,03-OCT-2025,10,1,INE1FF001016,10,INE1FF001016,NSE_ONLY
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10,1,INE682M01012,10,INE682M01012,NSE_ONLY
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-MAR-2015,2,1,INE412C01023,2,INE412C01023,NSE_ONLY
JNKINDIA,JNK India Limited,EQ,30-APR-2024,2,1,INE0OAF01028,2,INE0OAF01028,NSE_ONLY
JOCIL,Jocil Limited,EQ,08-OCT-2008,10,1,INE839G01010,10,INE839G01010,NSE_ONLY
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE953L01027,10,INE953L01027,NSE_ONLY
JSLL,Jeena Sikho Lifecare Limited,EQ,11-AUG-2025,2,1,INE0J5801029,2,INE0J5801029,NSE_ONLY
JSWCEMENT,JSW Cement Limited,EQ,14-AUG-2025,10,1,INE718I01012,10,INE718I01012,NSE_ONLY
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,2,1,INE880J01026,2,INE880J01026,NSE_ONLY
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,1,1,INE391J01032,1,INE391J01032,NSE_ONLY
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025,10,1,INE03CC01015,10,INE03CC01015,NSE_ONLY
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2,INE797F01020,NSE_ONLY
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1,1,INE0BY001018,1,INE0BY001018,NSE_ONLY
JUNIPER,Juniper Hotels Limited,EQ,28-FEB-2024,10,1,INE696F01016,10,INE696F01016,NSE_ONLY
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-JAN-2024,2,1,INE980O01024,2,INE980O01024,NSE_ONLY
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,2,1,INE438K01021,2,INE438K01021,NSE_ONLY
KALPATARU,Kalpataru Limited,EQ,01-JUL-2025,10,1,INE227J01012,10,INE227J01012,NSE_ONLY
KALYANI,Kalyani Commercials Limited,BE,13-FEB-2017,10,1,INE610E01010,10,INE610E01010,NSE_ONLY
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10,INE303R01014,NSE_ONLY
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,1,1,INE390H01020,1,INE390H01020,NSE_ONLY
KAMOPAINTS,Kamdhenu Ventures Limited,EQ,24-JAN-2023,1,1,INE0BTI01037,1,INE0BTI01037,NSE_ONLY
KANPRPLA,Kanpur Plastipack Limited,EQ,01-JAN-2021,10,1,INE694E01014,10,INE694E01014,NSE_ONLY
KAPSTON,Kapston Services Limited,EQ,27-MAY-2020,5,1,INE542Z01028,5,INE542Z01028,NSE_ONLY
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,EQ,14-DEC-2007,1000,1,INE234I01028,1000,INE234I01028,NSE_ONLY
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022,10,1,INE918Z01012,10,INE918Z01012,NSE_ONLY
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-MAR-2016,1,1,INE164B01030,1,INE164B01030,NSE_ONLY
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10,1,INE138Y01010,10,INE138Y01010,NSE_ONLY
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,2,1,INE967H01025,2,INE967H01025,NSE_ONLY
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-APR-2023,2,1,INE811A01020,2,INE811A01020,NSE_ONLY
KMEW,Knowledge Marine & Engineering Works Limited,EQ,14-NOV-2024,10,1,INE0CJD01011,10,INE0CJD01011,NSE_ONLY
KNAGRI,KN Agri Resources Limited,EQ,09-DEC-2025,10,1,INE0KNW01016,10,INE0KNW01016,NSE_ONLY
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-DEC-2004,10,1,INE419A01022,10,INE419A01022,NSE_ONLY
KPEL,K.P. Energy Limited,EQ,14-NOV-2024,5,1,INE127T01021,5,INE127T01021,NSE_ONLY
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021,5,1,INE542W01025,5,INE542W01025,NSE_ONLY
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10,INE04I401011,NSE_ONLY
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,1,1,INE930H01031,1,INE930H01031,NSE_ONLY
KRISHANA,Krishana Phoschem Limited,EQ,22-AUG-2019,10,1,INE506W01012,10,INE506W01012,NSE_ONLY
KRISHIVAL,Krishival Foods Limited,EQ,20-JUN-2025,10,1,INE0GGO01015,10,INE0GGO01015,NSE_ONLY
KRITI,Kriti Industries (India) Limited,EQ,01-NOV-2021,1,1,INE479D01038,1,INE479D01038,NSE_ONLY
KRITIKA,Kritika Wires Limited,EQ,04-MAY-2022,2,1,INE00Z501029,2,INE00Z501029,NSE_ONLY
KRITINUT,Kriti Nutrients Limited,EQ,07-OCT-2022,1,1,INE798K01010,1,INE798K01010,NSE_ONLY
KRN,KRN Heat Exchanger and Refrigeration Limited,EQ,03-OCT-2024,10,1,INE0Q3J01015,10,INE0Q3J01015,NSE_ONLY
KRONOX,Kronox Lab Sciences Limited,EQ,10-JUN-2024,10,1,INE0ATZ01017,10,INE0ATZ01017,NSE_ONLY
KROSS,Kross Limited,EQ,16-SEP-2024,5,1,INE0O6601022,5,INE0O6601022,NSE_ONLY
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-AUG-2021,5,1,INE08LI01020,5,INE08LI01020,NSE_ONLY
KRYSTAL,Krystal Integrated Services Limited,EQ,21-MAR-2024,10,1,INE0QN801017,10,INE0QN801017,NSE_ONLY
KSB,Ksb Limited,EQ,08-FEB-1995,2,1,INE999A01023,2,INE999A01023,NSE_ONLY
KSHITIJPOL,Kshitij Polyline Limited,EQ,27-JUL-2022,2,1,INE013801027,2,INE013801027,NSE_ONLY
KSOLVES,Ksolves India Limited,EQ,23-SEP-2022,5,1,INE0D6I01023,5,INE0D6I01023,NSE_ONLY
KSR,KSR Footwear Limited,BE,27-NOV-2025,10,1,INE1SPP01016,10,INE1SPP01016,NSE_ONLY
KUANTUM,Kuantum Papers Limited,EQ,23-OCT-2019,1,1,INE529I01021,1,INE529I01021,NSE_ONLY
LAGNAM,Lagnam Spintex Limited,EQ,30-SEP-2021,10,1,INE548Z01017,10,INE548Z01017,NSE_ONLY
LAL,Lorenzini Apparels Limited,EQ,10-APR-2023,1,1,INE740X01023,1,INE740X01023,NSE_ONLY
LANCORHOL,Lancor Holdings Limited,BE,12-MAR-2024,2,1,INE572G01025,2,INE572G01025,NSE_ONLY
LANDMARK,Landmark Cars Limited,EQ,23-DEC-2022,5,1,INE559R01029,5,INE559R01029,NSE_ONLY
LATENTVIEW,Latent View Analytics Limited,EQ,23-NOV-2021,1,1,INE0I7C01011,1,INE0I7C01011,NSE_ONLY
LATTEYS,Latteys Industries Limited,BE,23-MAY-2023,2,1,INE262Z01023,2,INE262Z01023,NSE_ONLY
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2,INE947Q01028,NSE_ONLY
LAXMICOT,Laxmi Cotspin Limited,EQ,12-NOV-2021,10,1,INE801V01019,10,INE801V01019,NSE_ONLY
LAXMIDENTL,Laxmi Dental Limited,EQ,20-JAN-2025,2,1,INE0WO601020,2,INE0WO601020,NSE_ONLY
LAXMIINDIA,Laxmi India Finance Limited,EQ,05-AUG-2025,5,1,INE06WU01026,5,INE06WU01026,NSE_ONLY
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,10,1,INE970X01018,10,INE970X01018,NSE_ONLY
LENSKART,Lenskart Solutions Limited,EQ,10-NOV-2025,2,1,INE956O01016,2,INE956O01016,NSE_ONLY
LEXUS,Lexus Granito (India) Limited,EQ,13-MAR-2023,10,1,INE500X01013,10,INE500X01013,NSE_ONLY
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015,10,1,INE850E01012,10,INE850E01012,NSE_ONLY
LGEINDIA,LG Electronics India Limited,EQ,14-OCT-2025,10,1,INE324D01010,10,INE324D01010,NSE_ONLY
LGHL,Laxmi Goldorna House Limited,EQ,10-NOV-2023,10,1,INE258Y01016,10,INE258Y01016,NSE_ONLY
LIBAS,Libas Consumer Products Limited,EQ,23-JUL-2019,10,1,INE908V01012,10,INE908V01012,NSE_ONLY
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10,INE0J1Y01017,NSE_ONLY
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-OCT-2020,5,1,INE060901027,5,INE060901027,NSE_ONLY
LINC,Linc Limited,EQ,09-MAR-2015,5,1,INE802B01027,5,INE802B01027,NSE_ONLY
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1,1,INE281B01032,1,INE281B01032,NSE_ONLY
LODHA,Lodha Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10,INE670K01029,NSE_ONLY
LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ,06-AUG-2025,1,1,INE0V9Q01010,1,INE0V9Q01010,NSE_ONLY
LOYALTEX,Loyal Textile Mills Limited,EQ,11-AUG-2022,10,1,INE970D01010,10,INE970D01010,NSE_ONLY
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-JAN-2007,2,1,INE872H01027,2,INE872H01027,NSE_ONLY
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2,1,INE576O01020,2,INE576O01020,NSE_ONLY
MAANALU,Maan Aluminium Limited,EQ,22-OCT-2007,5,1,INE215I01027,5,INE215I01027,NSE_ONLY
MACPOWER,Macpower CNC Machines Limited,EQ,19-AUG-2020,10,1,INE155Z01011,10,INE155Z01011,NSE_ONLY
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,10,1,INE215D01010,10,INE215D01010,NSE_ONLY
MAHESHWARI,Maheshwari Logistics Limited,EQ,15-APR-2019,10,1,INE263W01010,10,INE263W01010,NSE_ONLY
MALLCOM,Mallcom (India) Limited,EQ,02-FEB-2022,10,1,INE389C01015,10,INE389C01015,NSE_ONLY
MAMATA,Mamata Machinery Limited,EQ,27-DEC-2024,10,1,INE0TO701015,10,INE0TO701015,NSE_ONLY
MANBA,Manba Finance Limited,EQ,30-SEP-2024,10,1,INE939X01013,10,INE939X01013,NSE_ONLY
MANCREDIT,Mangal Credit and Fincorp Limited,EQ,16-AUG-2024,10,1,INE545L01039,10,INE545L01039,NSE_ONLY
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1,INE634S01028,NSE_ONLY
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022,2,1,INE00VM01036,2,INE00VM01036,NSE_ONLY
MANORG,Mangalam Organics Limited,EQ,02-NOV-2021,10,1,INE370D01013,10,INE370D01013,NSE_ONLY
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,1,1,INE825V01034,1,INE825V01034,NSE_ONLY
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,2,1,INE0BV301023,2,INE0BV301023,NSE_ONLY
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,5,1,INE182D01020,5,INE182D01020,NSE_ONLY
MARINE,Marine Electricals (India) Limited,EQ,02-DEC-2020,2,1,INE01JE01028,2,INE01JE01028,NSE_ONLY
MARKOLINES,Markolines Pavement Technologies Limited,EQ,14-OCT-2025,10,1,INE0FW001016,10,INE0FW001016,NSE_ONLY
MASKINVEST,Mask Investments Limited,BE,14-OCT-2016,10,1,INE885F01015,10,INE885F01015,NSE_ONLY
MASTERTR,Master Trust Limited,EQ,12-NOV-2024,1,1,INE677D01037,1,INE677D01037,NSE_ONLY
MAXESTATES,Max Estates Limited,EQ,30-OCT-2023,10,1,INE03EI01018,10,INE03EI01018,NSE_ONLY
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,INE027H01010,10,INE027H01010,NSE_ONLY
MAXIND,Max India Limited,EQ,28-AUG-2020,10,1,INE0CG601016,10,INE0CG601016,NSE_ONLY
MAZDA,Mazda Limited,EQ,01-NOV-2016,2,1,INE885E01042,2,INE885E01042,NSE_ONLY
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020,5,1,INE249Z01020,5,INE249Z01020,NSE_ONLY
